week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
2,13,296,288.03,277.91,0,0,26
95,21,201,80.61,75.11,0,0,34
252,7,115,303.92,248.81,0,0,38
9,50,74,110.18,91.73,0,0,16
245,24,23,281.98,238.54,0,1,37
175,20,175,198.39,252.15,0,0,46
60,29,376,240.54,233.56,1,0,47
12,36,114,275.58,230.25,1,0,50
36,23,164,147.84,121.78,0,0,25
234,4,146,106.04,103.93,0,1,46
188,50,151,97.79,101.45,0,0,26
119,11,63,155.32,168.81,0,0,33
223,13,297,236.69,201.27,0,0,36
45,1,166,285.31,276.22,0,0,23
3,14,49,67.61,55.95,0,0,29
233,20,330,246.1,209.25,0,0,48
158,21,21,180.82,176.57,0,0,38
88,50,135,163.84,161.52,0,0,32
255,27,351,152.58,137.89,1,0,53
94,24,221,141.84,122.49,0,0,28
20,23,156,49.82,59.05,0,0,29
48,36,311,244.33,280.5,0,0,36
40,39,137,256.61,297.09,0,0,46
158,10,15,96.31,109.49,0,0,47
158,39,335,137.45,136.19,0,1,39
30,48,71,49.58,50.25,0,0,18
174,30,137,232.95,231.05,1,0,30
226,46,244,180.76,158.16,0,0,37
33,19,386,258.69,257.87,0,0,33
69,27,96,189.99,179.08,0,0,42
60,28,79,251.17,231.7,1,1,51
86,40,321,51.03,70.02,0,0,21
52,28,13,102.33,97.91,0,0,46
134,20,351,258.18,213.22,0,0,39
81,7,330,224.26,265.65,0,0,30
219,27,192,98.28,84.16,0,1,47
253,44,350,112.03,110.43,0,0,31
13,26,336,156.75,147.78,0,0,32
127,29,349,180.3,238.47,0,0,53
50,11,366,298.02,259.15,0,0,32
199,39,216,106.76,91.57,0,1,48
27,45,118,277.56,254.72,0,0,7
184,8,352,199.64,176.2,0,0,37
91,50,384,219.88,223.02,0,0,15
37,33,55,104.28,107.13,1,0,40
96,23,317,202.38,213.82,0,0,28
134,30,236,238.51,295.02,0,0,42
178,6,399,203.66,199.35,0,0,42
122,23,62,135.07,170.3,0,0,38
95,22,77,268.96,277.48,0,0,36
2,1,57,56.2,53.78,0,0,34
228,46,203,120.11,96.74,0,0,42
182,26,103,217.16,251.26,0,1,50
171,23,292,297.12,243.62,0,0,28
131,25,272,73.81,72.78,0,1,52
22,25,55,262.93,243.44,0,0,35
99,14,105,115.18,93.56,1,0,28
193,14,317,75.57,98.35,1,0,49
82,22,60,169.2,138.97,0,0,31
5,8,202,82.17,76.25,0,0,31
230,38,30,145.81,117.5,0,0,34
215,9,59,97.41,81.96,0,0,45
151,19,195,288.53,269.81,0,1,61
243,32,215,204.75,235.15,0,0,36
43,14,331,140.85,136.79,0,0,41
70,6,189,262.47,222.24,0,0,30
174,42,73,163.15,146.84,0,0,38
46,43,6,182.01,156.53,0,0,19
260,46,134,279.86,250.36,0,0,37
28,26,309,290.17,284.43,0,0,29
144,30,36,147.81,122.5,0,0,17
79,38,227,204.51,169.03,1,0,39
115,21,197,189.38,173.77,0,0,24
127,12,269,280.32,247.61,0,0,28
231,12,343,261.68,257.03,0,0,46
207,37,307,366.34,293.09,1,0,28
97,13,276,102.21,91.32,0,0,26
220,43,35,88.51,107.72,0,0,40
150,32,49,218.35,288.37,0,0,23
79,19,221,253.75,287.77,0,0,41
257,16,208,53.34,63.81,1,0,40
164,43,284,93.64,78.82,0,0,46
119,23,394,144.67,140.68,1,0,15
237,50,118,315.28,294.27,0,1,42
74,34,175,337.15,295.04,1,0,25
88,34,180,265.46,226.77,0,0,23
160,41,38,186.72,180.12,0,0,46
89,15,324,135.71,144.91,0,0,19
21,42,380,167.21,142.88,0,0,11
217,23,382,70.15,63.84,0,0,28
92,30,30,65.03,92.28,0,0,47
14,28,294,196.15,185.97,0,0,24
87,7,53,278.64,225.6,0,1,34
151,31,188,162.27,198.05,0,0,40
39,35,132,106.8,125.54,0,0,33
243,21,325,294.29,255.61,0,0,36
240,11,213,196.96,180.23,1,0,36
101,39,270,136.77,192.9,0,0,43
233,10,382,337.45,276.22,0,0,28
253,33,23,65.19,82.66,0,0,50
33,8,340,270.59,252.25,0,0,24
248,50,83,75.78,88.84,0,0,36
115,18,153,204.34,251.47,0,0,32
69,28,170,132.9,111.93,1,1,54
46,39,148,261.75,211.66,0,0,28
195,2,227,52.81,59.13,0,1,27
88,45,393,300.59,276.4,0,0,26
186,30,12,233.61,212.88,0,0,30
257,12,296,103.82,93.1,0,0,27
103,35,80,233.41,188.9,0,0,25
6,44,30,298.96,292.82,0,0,31
18,31,251,76.91,96.02,0,0,26
42,14,72,225.77,185.82,0,0,17
258,19,132,189.43,187.39,0,0,40
5,28,234,87.64,79.08,0,0,26
134,36,155,230.76,186.03,0,0,42
127,29,165,263.23,255.62,0,0,27
117,46,152,139.32,121.15,0,0,30
248,32,119,274.7,269.73,1,1,51
14,36,84,221.0,183.42,0,0,18
97,1,335,151.93,158.03,0,1,25
109,8,132,159.15,212.52,0,0,40
204,1,316,90.17,112.6,1,0,31
42,31,331,71.02,59.47,0,0,22
102,30,340,196.5,269.87,0,0,30
37,32,242,174.63,155.33,0,0,36
225,28,58,168.44,235.78,0,0,44
206,37,196,142.89,162.67,0,0,44
211,15,171,221.85,280.73,0,0,48
8,3,129,160.18,128.97,0,0,26
221,43,309,357.98,294.83,0,0,30
118,38,4,62.78,58.96,0,0,48
240,5,11,166.92,164.04,0,0,38
13,17,9,184.12,167.14,0,0,20
167,8,61,74.4,68.45,0,0,30
217,40,66,214.93,290.84,1,0,54
206,42,303,108.07,102.74,0,0,26
160,4,154,222.3,215.36,0,0,34
133,36,321,169.87,173.91,0,0,37
87,28,111,153.71,190.74,0,0,37
150,6,227,215.71,209.8,0,0,35
94,5,139,211.53,187.57,0,0,38
13,29,150,315.95,270.81,0,0,17
119,19,332,357.37,288.87,1,0,35
15,39,8,211.04,204.99,0,0,35
213,19,78,86.68,83.26,0,0,49
87,36,132,142.58,117.93,1,0,38
101,41,340,196.33,264.31,0,0,35
16,8,41,99.65,92.83,0,0,44
250,23,316,156.88,170.98,0,0,39
170,45,136,185.18,179.28,0,1,42
190,45,173,189.5,207.54,0,0,38
157,32,235,146.68,138.85,0,0,38
180,39,115,360.86,289.96,0,0,29
69,47,221,146.55,189.32,0,0,38
227,17,322,136.09,165.77,1,0,49
160,29,104,269.16,222.99,0,0,28
227,45,125,67.74,63.18,0,0,33
172,44,142,335.42,283.7,1,0,24
58,39,79,88.15,83.56,0,0,39
42,12,276,67.46,65.04,0,0,20
96,26,289,160.86,219.61,0,0,39
159,5,272,107.65,112.03,0,0,38
232,13,222,70.85,56.84,0,1,36
1,42,388,86.85,105.36,0,0,32
140,5,348,88.77,87.16,0,1,32
213,12,322,58.57,55.5,0,0,21
67,34,378,194.02,167.0,0,0,24
85,6,130,361.35,295.47,1,0,48
237,10,233,194.43,171.37,0,0,27
212,9,284,208.16,251.1,0,0,57
40,9,8,138.96,120.89,0,0,23
182,34,70,144.52,117.75,0,0,23
70,30,225,167.36,144.72,0,0,14
92,5,206,246.84,233.55,0,0,35
253,49,175,57.75,76.99,0,0,44
233,39,284,161.46,201.94,0,0,41
117,26,130,98.28,85.98,0,0,34
152,34,218,232.89,194.26,0,0,40
126,30,292,133.14,108.83,0,1,37
89,26,166,76.45,104.26,0,0,52
23,10,221,213.56,189.43,0,0,3
240,15,256,166.86,165.59,1,0,54
257,11,213,43.26,59.29,0,0,43
146,48,47,178.73,184.55,1,1,46
91,36,13,307.03,268.69,0,0,45
204,7,303,73.61,104.17,0,0,30
228,50,360,211.54,270.7,0,0,37
144,50,120,85.96,77.24,0,0,22
39,14,320,68.09,64.59,0,0,29
153,2,386,141.82,157.77,0,0,20
121,32,199,325.99,299.31,0,0,40
242,9,288,172.3,192.67,0,0,59
54,27,301,121.48,149.74,1,0,32
211,20,350,86.26,84.79,0,0,25
6,46,52,346.57,283.74,0,0,37
184,43,3,116.36,99.79,0,0,44
116,42,24,162.14,191.14,0,0,27
50,45,386,83.51,81.94,1,0,29
172,45,227,141.07,172.1,0,0,21
4,39,234,262.06,220.29,0,0,16
218,11,288,146.6,121.29,1,0,38
242,34,243,255.6,298.31,0,0,48
257,8,106,151.85,133.06,0,0,61
135,6,283,146.7,174.76,0,0,31
179,3,55,343.73,282.28,0,0,29
147,44,234,265.19,219.8,0,0,20
138,17,182,50.63,58.45,1,0,39
57,25,308,292.18,241.92,0,0,18
33,1,120,265.23,260.2,0,0,27
48,42,250,73.47,75.85,1,0,22
215,30,166,204.13,261.61,0,0,30
138,31,46,197.13,163.72,0,0,25
17,1,66,214.34,180.1,0,0,17
125,49,263,191.41,210.38,0,1,45
207,18,264,159.34,153.86,0,0,44
253,26,177,190.56,184.2,0,0,35
68,23,136,199.93,161.61,0,0,27
234,8,37,331.23,276.57,1,0,53
14,15,62,253.71,204.69,0,0,33
63,8,196,164.18,155.05,0,0,50
67,40,128,80.11,67.91,0,0,24
181,10,34,85.53,108.97,0,0,24
28,3,260,172.64,161.45,0,0,13
103,18,284,186.32,154.58,0,0,28
20,26,16,155.99,150.21,1,1,37
194,11,126,178.87,209.38,0,0,42
49,21,72,211.14,264.64,0,0,13
180,42,302,259.0,234.64,0,0,25
100,47,136,286.1,245.37,0,1,47
258,39,35,295.3,247.75,0,0,45
37,23,328,190.57,179.42,0,0,39
120,19,202,261.28,211.5,1,0,37
59,39,190,169.14,149.35,0,0,29
14,10,177,101.25,81.56,0,0,15
250,8,101,281.0,250.68,0,0,40
69,2,300,176.2,164.12,0,0,15
57,13,358,86.96,76.86,0,1,46
120,41,297,199.57,184.39,1,0,47
77,46,131,239.3,207.0,0,0,34
134,17,27,40.88,53.76,1,0,25
68,4,80,206.86,270.18,1,1,45
100,23,98,187.95,178.95,1,0,45
149,13,154,133.85,160.15,0,0,21
210,41,39,78.3,71.74,0,0,28
111,46,359,270.87,235.4,1,1,49
183,13,369,150.44,127.75,0,0,40
169,22,88,233.05,207.07,1,0,20
211,1,259,105.1,98.54,0,1,51
183,11,326,307.07,274.12,1,0,35
157,29,249,128.31,156.93,1,0,58
143,2,400,140.94,177.87,0,0,27
117,45,335,206.12,185.0,0,0,30
142,15,274,206.29,183.21,0,0,31
218,31,13,148.43,174.27,0,0,33
197,20,228,91.57,85.17,0,0,22
103,22,385,235.63,224.34,0,0,22
222,27,194,248.81,264.77,0,0,46
91,22,291,125.75,121.71,1,0,30
177,13,103,239.38,195.74,1,0,41
126,18,318,63.32,57.33,0,0,45
140,42,195,353.18,288.05,0,0,23
129,35,269,196.26,195.54,0,0,42
26,38,238,276.87,243.86,0,0,31
190,6,101,144.17,181.24,1,0,28
149,28,5,194.23,202.25,0,0,44
240,10,374,344.16,293.42,0,0,26
44,50,187,147.78,126.23,0,0,20
81,39,147,193.74,177.94,0,0,32
31,31,187,226.29,192.03,0,0,27
112,4,96,261.07,238.44,0,0,35
239,49,325,115.46,95.18,0,0,48
83,9,266,109.75,141.13,0,0,32
47,43,332,254.9,247.93,0,0,37
59,7,348,203.06,219.96,1,0,48
78,4,243,136.81,131.43,0,0,12
43,47,36,163.25,140.2,1,1,34
85,17,360,196.03,253.82,0,0,25
15,35,20,223.56,223.24,0,0,32
235,33,314,287.64,256.29,0,0,35
59,19,347,236.06,198.05,0,0,29
98,2,19,196.36,167.1,1,0,37
215,3,298,108.86,118.93,1,0,47
90,38,194,165.08,137.98,0,0,44
59,29,116,253.7,271.67,0,1,51
12,41,295,111.82,143.52,0,1,40
195,15,96,302.81,262.05,0,1,34
55,8,92,273.6,240.57,0,1,33
24,45,164,140.43,118.96,0,0,12
