date,kitchen_id,menu_item_id,item_name,quantity_sold,price
2024-01-01,1,1,Margherita Pizza,26,12.0
2024-01-01,1,2,Pasta Alfredo,28,14.0
2024-01-01,1,3,Lasagna Bolognese,22,16.0
2024-01-01,1,4,Bruschetta,29,8.0
2024-01-01,1,5,Tiramisu,28,7.0
2024-01-01,1,6,Caesar Salad,19,10.0
2024-01-01,1,7,Minestrone Soup,29,9.0
2024-01-01,2,1,Margherita Pizza,28,12.0
2024-01-01,2,2,Pasta Alfredo,28,14.0
2024-01-01,2,3,Lasagna Bolognese,23,16.0
2024-01-01,2,4,Bruschetta,24,8.0
2024-01-01,2,5,Tiramisu,28,7.0
2024-01-01,2,6,Caesar Salad,22,10.0
2024-01-01,2,7,Minestrone Soup,20,9.0
2024-01-01,3,1,Margherita Pizza,22,12.0
2024-01-01,3,2,Pasta Alfredo,30,14.0
2024-01-01,3,3,Lasagna Bolognese,19,16.0
2024-01-01,3,4,Bruschetta,28,8.0
2024-01-01,3,5,Tiramisu,29,7.0
2024-01-01,3,6,Caesar Salad,18,10.0
2024-01-01,3,7,Minestrone Soup,31,9.0
2024-01-01,4,1,Margherita Pizza,27,12.0
2024-01-01,4,2,Pasta Alfredo,33,14.0
2024-01-01,4,3,Lasagna Bolognese,19,16.0
2024-01-01,4,4,Bruschetta,26,8.0
2024-01-01,4,5,Tiramisu,33,7.0
2024-01-01,4,6,Caesar Salad,20,10.0
2024-01-01,4,7,Minestrone Soup,29,9.0
2024-01-01,5,1,Margherita Pizza,28,12.0
2024-01-01,5,2,Pasta Alfredo,33,14.0
2024-01-01,5,3,Lasagna Bolognese,23,16.0
2024-01-01,5,4,Bruschetta,35,8.0
2024-01-01,5,5,Tiramisu,34,7.0
2024-01-01,5,6,Caesar Salad,21,10.0
2024-01-01,5,7,Minestrone Soup,32,9.0
2024-01-02,1,1,Margherita Pizza,25,12.0
2024-01-02,1,2,Pasta Alfredo,34,14.0
2024-01-02,1,3,Lasagna Bolognese,18,16.0
2024-01-02,1,4,Bruschetta,25,8.0
2024-01-02,1,5,Tiramisu,34,7.0
2024-01-02,1,6,Caesar Salad,26,10.0
2024-01-02,1,7,Minestrone Soup,29,9.0
2024-01-02,2,1,Margherita Pizza,30,12.0
2024-01-02,2,2,Pasta Alfredo,34,14.0
2024-01-02,2,3,Lasagna Bolognese,21,16.0
2024-01-02,2,4,Bruschetta,28,8.0
2024-01-02,2,5,Tiramisu,34,7.0
2024-01-02,2,6,Caesar Salad,28,10.0
2024-01-02,2,7,Minestrone Soup,31,9.0
2024-01-02,3,1,Margherita Pizza,26,12.0
2024-01-02,3,2,Pasta Alfredo,38,14.0
2024-01-02,3,3,Lasagna Bolognese,25,16.0
2024-01-02,3,4,Bruschetta,29,8.0
2024-01-02,3,5,Tiramisu,39,7.0
2024-01-02,3,6,Caesar Salad,29,10.0
2024-01-02,3,7,Minestrone Soup,34,9.0
2024-01-02,4,1,Margherita Pizza,30,12.0
2024-01-02,4,2,Pasta Alfredo,38,14.0
2024-01-02,4,3,Lasagna Bolognese,28,16.0
2024-01-02,4,4,Bruschetta,36,8.0
2024-01-02,4,5,Tiramisu,37,7.0
2024-01-02,4,6,Caesar Salad,27,10.0
2024-01-02,4,7,Minestrone Soup,30,9.0
2024-01-02,5,1,Margherita Pizza,31,12.0
2024-01-02,5,2,Pasta Alfredo,43,14.0
2024-01-02,5,3,Lasagna Bolognese,33,16.0
2024-01-02,5,4,Bruschetta,34,8.0
2024-01-02,5,5,Tiramisu,43,7.0
2024-01-02,5,6,Caesar Salad,30,10.0
2024-01-02,5,7,Minestrone Soup,33,9.0
2024-01-03,1,1,Margherita Pizza,30,12.0
2024-01-03,1,2,Pasta Alfredo,38,14.0
2024-01-03,1,3,Lasagna Bolognese,24,16.0
2024-01-03,1,4,Bruschetta,33,8.0
2024-01-03,1,5,Tiramisu,25,7.0
2024-01-03,1,6,Caesar Salad,26,10.0
2024-01-03,1,7,Minestrone Soup,29,9.0
2024-01-03,2,1,Margherita Pizza,29,12.0
2024-01-03,2,2,Pasta Alfredo,35,14.0
2024-01-03,2,3,Lasagna Bolognese,19,16.0
2024-01-03,2,4,Bruschetta,29,8.0
2024-01-03,2,5,Tiramisu,36,7.0
2024-01-03,2,6,Caesar Salad,29,10.0
2024-01-03,2,7,Minestrone Soup,28,9.0
2024-01-03,3,1,Margherita Pizza,29,12.0
2024-01-03,3,2,Pasta Alfredo,35,14.0
2024-01-03,3,3,Lasagna Bolognese,29,16.0
2024-01-03,3,4,Bruschetta,32,8.0
2024-01-03,3,5,Tiramisu,35,7.0
2024-01-03,3,6,Caesar Salad,28,10.0
2024-01-03,3,7,Minestrone Soup,32,9.0
2024-01-03,4,1,Margherita Pizza,36,12.0
2024-01-03,4,2,Pasta Alfredo,36,14.0
2024-01-03,4,3,Lasagna Bolognese,27,16.0
2024-01-03,4,4,Bruschetta,32,8.0
2024-01-03,4,5,Tiramisu,34,7.0
2024-01-03,4,6,Caesar Salad,28,10.0
2024-01-03,4,7,Minestrone Soup,34,9.0
2024-01-03,5,1,Margherita Pizza,35,12.0
2024-01-03,5,2,Pasta Alfredo,40,14.0
2024-01-03,5,3,Lasagna Bolognese,25,16.0
2024-01-03,5,4,Bruschetta,33,8.0
2024-01-03,5,5,Tiramisu,39,7.0
2024-01-03,5,6,Caesar Salad,26,10.0
2024-01-03,5,7,Minestrone Soup,34,9.0
2024-01-04,1,1,Margherita Pizza,30,12.0
2024-01-04,1,2,Pasta Alfredo,39,14.0
2024-01-04,1,3,Lasagna Bolognese,24,16.0
2024-01-04,1,4,Bruschetta,29,8.0
2024-01-04,1,5,Tiramisu,33,7.0
2024-01-04,1,6,Caesar Salad,18,10.0
2024-01-04,1,7,Minestrone Soup,28,9.0
2024-01-04,2,1,Margherita Pizza,30,12.0
2024-01-04,2,2,Pasta Alfredo,42,14.0
2024-01-04,2,3,Lasagna Bolognese,24,16.0
2024-01-04,2,4,Bruschetta,31,8.0
2024-01-04,2,5,Tiramisu,35,7.0
2024-01-04,2,6,Caesar Salad,21,10.0
2024-01-04,2,7,Minestrone Soup,33,9.0
2024-01-04,3,1,Margherita Pizza,34,12.0
2024-01-04,3,2,Pasta Alfredo,39,14.0
2024-01-04,3,3,Lasagna Bolognese,24,16.0
2024-01-04,3,4,Bruschetta,36,8.0
